order_id,customer_id,product_id,quantity,order_amount,discount,order_date
69,66,8,-1,31401.5,21.72,2024-07-01
70,67,1,2,13124.55,8.8,2023-05-04
71,68,7,2,31487.31,29.46,2023-06-08
72,69,4,5,48481.59,13.73,2024-11-23
73,70,1,2,18275.07,23.05,2022-09-21
74,71,8,1,89527.87,21.1,2024-01-08
75,72,4,5,23843.54,10.22,2025-08-10
76,73,3,1,87611.79,27.32,2022-03-26
77,74,4,5,86318.19,11.88,2023-05-21
78,75,6,5,94869.78,1.91,2022-01-21
79,76,4,5,38121.75,22.38,2023-03-24
80,77,5,5,,19.99,2022-11-18
81,78,6,5,45365.77,11.25,2021-05-28
82,79,8,1,74994.07,24.28,2022-06-16
83,80,2,1,22045.4,7.73,2024-10-05
84,81,1,2,45758.67,4.91,2023-06-24
85,82,1,2,17168.6,29.31,2022-05-24
86,83,2,1,68668.97,21.4,2021-10-20
87,7,3,1,91311.78,0.21,2022-04-09
88,84,4,5,28062.79,10.53,2022-05-21
89,80,2,1,87339.55,1.55,2025-08-14
90,62,2,1,,7.31,2024-07-09
91,47,2,1,82783.9,1.68,2021-08-29
92,85,6,5,97385.34,21.08,2022-11-10
93,86,4,5,90013.65,13.95,2022-01-05
94,87,7,2,50213.5,26.03,2024-08-21
95,88,9,2,43747.73,18.87,2021-02-26
96,89,7,2,59637.02,0.0,2024-06-29
97,5,9,2,22641.86,2.64,2025-07-30
98,90,8,1,19401.22,5.68,2024-05-01
99,73,4,5,19392.27,28.64,2022-07-15
100,91,2,1,91256.7,0.79,2021-07-01
101,92,2,1,96280.02,14.04,2022-07-22
102,22,2,1,42756.9,11.28,2024-03-11
103,93,9,2,31419.45,18.07,2022-08-22
104,94,7,-1,3870.23,0.0,2024-09-12
105,95,4,5,84761.03,15.83,2024-05-28
106,96,4,5,17680.46,21.68,2025-05-03
107,47,1,2,19865.31,26.28,2021-01-07
108,97,6,5,10261.05,11.94,2021-03-28
109,98,6,5,37574.85,22.71,2023-12-01
110,99,7,2,32715.67,15.01,2022-05-09
111,23,7,-1,6504.84,24.75,2025-02-01
112,100,7,2,18719.28,10.74,2023-08-15
113,101,8,1,31116.1,20.26,2021-03-13
114,102,7,2,79366.54,17.13,2024-06-14
115,57,4,5,49488.37,13.92,2021-11-18
116,103,2,1,45829.62,21.27,2025-03-31
117,104,4,5,73336.39,27.52,2023-12-07
118,105,1,2,44976.29,12.76,2025-04-11
119,92,2,1,87309.36,9.81,2022-08-02
120,106,7,2,50878.44,28.35,2021-01-15
121,107,7,2,28237.15,18.45,2022-04-09
122,103,2,1,38983.34,15.65,2023-09-03
123,108,4,5,10788.69,25.15,2024-03-24
124,45,5,5,82615.14,7.38,2024-09-29
125,69,4,5,77375.68,29.69,2021-03-02
126,57,7,2,28263.33,4.06,2022-08-23
127,109,5,5,28477.64,17.1,2025-04-08
128,110,7,2,4265.06,12.31,2023-04-04
129,7,4,5,75569.79,4.07,2023-08-27
130,111,6,5,73652.99,10.23,2021-11-16
131,112,2,1,41965.52,0.73,2025-06-03
132,113,6,5,79130.25,8.29,2023-01-16
133,114,3,1,69461.71,16.44,2025-07-26
134,115,9,2,5012.3,0.34,2021-01-01
135,116,7,2,64549.96,13.52,2025-12-28
136,117,4,5,75907.36,2.6,2024-01-19
137,118,4,5,14747.25,4.0,2021-01-23
138,119,7,2,82575.26,15.53,2022-07-25
139,70,2,1,24210.03,18.29,2022-03-28
140,78,4,5,23632.16,24.23,2024-05-19
141,120,6,5,46514.29,11.6,2021-06-09
142,121,3,1,49892.45,21.73,2021-04-16
143,119,2,1,85217.12,19.95,2025-07-18
144,122,5,5,33267.21,12.22,2023-08-30
145,123,9,2,81523.64,16.04,2025-03-31
146,124,2,1,31196.1,26.34,2024-09-09
147,125,2,1,94914.81,13.12,2021-01-07
148,126,7,2,44133.7,4.07,2022-03-24
149,8,4,5,61098.77,23.84,2022-10-09
150,127,2,1,46892.75,15.21,2021-02-23
151,51,7,2,29390.37,0.0,2024-10-01
152,128,2,1,7634.43,18.11,2025-11-19
153,43,6,5,23382.41,11.23,2021-04-20
154,129,4,5,9358.8,16.52,2022-12-07
155,130,1,2,26287.28,29.11,2022-02-20
156,23,4,5,45362.84,21.0,2025-10-30
157,123,3,1,19623.4,29.83,2025-06-08
158,131,7,2,19922.79,24.99,2024-04-06
159,7,5,5,79933.22,26.05,2022-03-03
160,132,2,1,92580.24,19.66,2025-09-12
161,133,8,1,20207.5,8.34,2022-04-29
162,134,5,5,28678.43,3.86,2024-12-05
163,135,7,2,39869.85,22.9,2023-09-29
164,136,2,1,50188.58,24.23,2024-08-17
165,137,8,1,82882.78,5.39,2023-02-18
166,138,4,5,10804.97,6.4,2021-01-01
167,139,4,5,25997.94,0.0,2023-02-16
168,140,4,5,99163.78,3.84,2021-12-21
169,141,4,5,89380.49,9.93,2025-12-10
170,1,7,2,69169.58,11.58,2023-02-17
171,127,4,5,99500.7,19.81,2025-05-20
172,142,2,-1,52021.86,28.36,2021-11-26
173,122,2,1,44785.99,17.65,2025-01-09
174,130,3,1,70421.41,25.34,2024-05-03
175,143,6,5,30778.45,25.68,2021-02-01
176,2,4,5,47880.23,22.97,2021-05-18
177,144,2,1,21824.79,28.32,2022-06-24
178,145,2,1,22499.04,7.82,2025-07-28
179,146,2,1,72991.65,13.4,2022-10-14
180,147,6,5,85287.88,0.0,2025-05-21
181,148,8,1,17459.73,19.83,2024-09-21
182,149,4,-1,14481.72,4.76,2022-12-22
183,48,5,5,87708.57,7.91,2021-10-27
184,78,8,1,1881.47,6.96,2025-01-02
185,150,7,2,95761.61,19.86,2022-08-23
186,51,2,1,85001.24,5.77,2025-02-24
187,151,5,-1,9445.18,24.87,2023-02-02
188,152,6,5,394.85,18.95,2025-07-17
189,153,5,5,17827.73,20.27,2024-12-07
190,154,5,-1,55111.01,0.0,2022-06-21
191,8,2,1,-500.0,24.72,2023-12-31
192,155,4,5,47997.1,14.26,2022-08-08
193,75,7,2,1448.73,9.84,2022-06-22
194,85,9,2,20906.49,7.26,2024-12-13
195,156,8,1,13587.12,14.73,2022-06-29
196,157,8,1,26508.82,26.7,2021-12-20
197,158,7,2,42072.42,18.77,2021-07-13
198,159,4,5,45349.17,17.81,2021-01-07
199,160,5,5,68885.83,27.15,2022-04-11
200,117,2,1,93495.39,27.96,2021-11-09
201,161,1,2,42394.16,24.71,2023-10-15
202,162,1,2,36639.98,10.56,2021-01-31
203,163,6,5,24685.72,10.11,2021-10-08
204,164,5,5,91853.07,15.7,2024-04-26
205,165,3,1,92385.85,13.37,2025-12-24
206,127,8,1,17343.54,4.71,2022-05-22
207,166,6,5,460.9,17.79,2022-10-08
208,167,1,2,872.2,3.19,2022-12-24
209,168,1,2,96500.11,8.99,2025-01-05
210,20,4,5,45566.51,28.69,2022-07-19
211,169,6,5,69449.99,1.76,2025-04-16
212,66,4,5,88249.61,17.43,2025-10-07
213,170,7,2,55136.46,7.99,2023-04-10
214,136,6,5,9573.61,6.0,2025-04-15
215,112,3,1,7336.73,29.72,2021-05-08
216,171,8,1,37180.96,24.62,2024-11-02
217,85,7,2,23216.59,0.41,2021-05-31
218,149,7,2,61656.94,1.57,2023-02-18
219,33,3,1,69863.31,6.38,2022-03-07
220,172,6,5,8490.59,24.72,2025-06-09
221,89,7,2,65729.88,29.18,2021-05-19
222,173,7,2,29836.92,28.1,2022-03-11
223,174,4,5,87380.46,20.89,2021-08-06
224,34,6,5,39865.38,4.53,2024-10-27
225,175,4,5,99048.11,3.41,2025-08-05
226,176,7,2,89757.01,2.31,2023-04-09
227,47,1,2,56765.49,23.47,2025-02-14
228,14,5,5,12896.1,22.83,2023-04-13
229,78,7,2,26769.59,22.36,2022-05-22
230,177,7,2,47403.64,11.39,2024-11-16
231,178,2,1,,2.73,2021-01-22
232,179,4,5,64145.14,3.57,2025-12-02
233,82,4,5,14009.3,4.28,2022-01-06
234,158,7,2,55259.43,28.73,2025-05-26
235,128,6,5,93092.44,25.45,2024-08-03
236,36,4,5,61497.73,28.35,2022-02-06
237,130,7,2,70035.93,11.79,2023-06-02
238,180,7,2,-500.0,21.53,2023-09-27
239,55,2,1,31978.68,15.17,2021-03-28
240,172,9,2,10658.47,7.16,2025-08-03
241,181,3,1,11437.8,27.24,2021-03-18
242,53,5,5,58868.54,1.98,2023-12-04
243,182,1,-1,83081.94,15.45,2023-07-06
244,178,3,1,1577.57,5.04,2021-01-28
245,183,7,2,73284.31,0.25,2022-02-08
246,184,5,5,44231.76,0.0,2025-09-29
247,82,3,1,14716.27,17.54,2024-05-23
248,185,1,2,17389.52,23.13,2024-11-04
249,186,9,2,29718.97,11.73,2021-12-27
250,187,9,2,54633.06,12.28,2023-05-06
251,188,8,1,70059.38,0.0,2024-07-12
252,189,2,1,15538.58,29.56,2021-11-19
253,50,2,1,17667.74,28.31,2024-02-10
254,85,5,5,32773.34,26.49,2022-10-26
255,121,7,2,46160.47,12.84,2025-12-29
256,190,9,2,8685.5,3.05,2023-10-26
257,7,7,2,50553.2,5.64,2022-12-29
258,91,3,1,32560.38,26.59,2025-05-23
259,123,7,2,78319.73,25.42,2022-06-24
260,191,5,5,68879.77,4.48,2023-01-23
261,192,4,5,12634.01,8.42,2022-09-18
262,115,5,5,37470.68,2.06,2022-09-05
263,193,8,1,30148.17,14.63,2024-08-31
264,181,4,5,60364.07,27.32,2021-12-04
265,194,9,2,21646.61,25.13,2023-11-17
266,173,7,2,46460.04,0.32,2021-12-25
267,195,3,1,79905.82,13.65,2025-09-22
268,9,2,1,58930.06,26.38,2021-05-23
269,64,2,1,56590.37,23.3,2025-12-19
270,196,7,2,56553.97,14.89,2024-10-02
271,189,4,5,86415.76,28.83,2025-01-16
272,197,2,1,31816.71,19.76,2025-01-03
273,198,7,2,90342.83,10.48,2025-02-02
274,47,7,2,72403.0,29.51,2024-10-10
275,199,4,5,50733.01,22.33,2024-09-25
276,18,5,5,15537.72,4.34,2024-11-22
277,200,9,2,85786.57,28.12,2022-06-13
278,5,1,2,8622.24,29.15,2022-11-16
279,181,2,1,36068.32,0.15,2024-05-12
280,67,8,1,59109.58,12.41,2023-06-09
281,3,2,1,60168.41,10.77,2025-10-13
282,201,1,2,12908.9,9.67,2025-03-08
283,202,4,5,91464.4,23.29,2022-10-17
284,203,4,5,63343.79,27.87,2021-04-10
285,55,4,5,14869.74,5.92,2022-08-02
286,12,2,1,,20.16,2022-04-21
287,204,2,1,83061.17,22.42,2021-06-12
288,205,4,5,52234.72,0.08,2023-08-24
289,206,4,5,74356.8,27.02,2025-09-12
290,207,7,2,91885.9,20.47,2021-06-15
291,208,2,1,87221.76,10.56,2025-10-31
292,85,3,1,95404.44,3.87,2023-10-21
293,2,4,5,49884.92,0.0,2021-10-22
294,209,9,2,73681.09,5.19,2025-05-02
295,210,7,2,99170.2,29.21,2023-09-19
296,211,2,1,24348.15,10.05,2025-09-18
297,186,8,1,17553.24,11.95,2023-02-17
298,170,7,2,96723.24,3.37,2024-08-20
299,15,4,5,87317.55,14.68,2024-12-25
300,212,7,2,57743.7,0.1,2022-02-01
301,153,5,5,63465.39,29.05,2023-01-08
302,115,4,5,33501.56,9.31,2023-02-20
303,213,8,1,96136.99,25.06,2023-10-09
304,214,2,1,90295.05,0.0,2021-09-09
305,215,2,1,38872.1,3.19,2023-04-29
306,121,4,5,,6.61,2024-03-16
307,216,7,2,62597.48,27.25,2022-11-08
308,217,7,2,33118.56,29.55,2022-11-20
309,214,2,1,,17.18,2023-10-20
310,218,9,2,9816.82,29.01,2021-08-31
311,219,7,2,22424.93,0.0,2023-02-21
312,37,5,5,64780.97,21.51,2022-06-03
313,220,5,5,97675.55,7.87,2023-09-02
314,93,5,5,61437.77,5.67,2024-02-09
315,221,4,5,23677.85,24.9,2025-10-24
316,104,4,5,46189.89,0.0,2023-06-13
317,82,7,2,,12.18,2021-03-09
318,182,4,5,6397.0,26.92,2025-09-16
319,222,1,2,71024.65,6.14,2024-10-07
320,223,2,1,72405.08,3.38,2025-12-27
321,77,9,2,86262.21,27.61,2021-07-09
322,224,7,2,34479.13,25.32,2023-08-11
323,217,5,5,64143.0,15.91,2023-02-05
324,225,2,1,19303.21,8.35,2021-08-23
325,226,6,5,67414.4,13.04,2025-02-05
326,167,2,1,54319.0,28.02,2025-01-29
327,85,5,5,-500.0,18.43,2024-03-31
328,187,6,5,65387.58,17.11,2022-12-25
329,192,7,2,42332.09,25.82,2021-09-25
330,227,4,5,75578.6,20.21,2022-08-02
331,78,4,5,28370.14,0.67,2021-08-04
332,228,4,5,10655.57,25.55,2021-03-06
333,26,7,2,37179.58,19.47,2025-03-16
334,229,4,5,19360.7,23.63,2023-12-02
335,114,6,5,28308.11,2.01,2021-01-25
336,230,6,5,35643.85,20.1,2022-06-14
337,231,4,5,38758.05,13.13,2022-05-04
338,105,2,1,,1.86,2023-12-20
339,49,4,5,12899.62,25.82,2024-07-22
340,221,1,2,92787.99,6.07,2024-06-23
341,232,3,1,,7.53,2025-03-14
342,233,7,2,63746.39,2.65,2022-01-12
343,37,2,1,71163.33,14.21,2025-01-30
344,234,7,2,60443.48,26.93,2021-07-20
345,98,4,5,,4.07,2022-01-03
346,235,9,2,93916.64,25.73,2023-11-11
347,63,2,1,67736.14,7.45,2022-10-16
348,236,2,1,85408.17,0.0,2025-07-16
349,237,6,5,13650.13,11.77,2022-04-02
350,36,7,2,33091.88,24.69,2024-10-28
351,238,7,2,4836.49,7.36,2021-05-06
352,225,6,5,17434.75,8.46,2024-03-06
353,239,4,5,48148.33,25.29,2022-12-09
354,66,4,5,,22.59,2024-03-14
355,80,5,5,49061.88,6.56,2024-09-26
356,240,2,1,,19.54,2025-03-30
357,193,2,1,77960.25,11.58,2024-05-30
358,8,4,5,18044.25,22.56,2023-11-11
359,241,5,5,6037.85,12.41,2024-05-31
360,227,2,1,61295.49,9.55,2021-06-25
361,242,7,2,15234.83,26.85,2021-06-05
362,134,6,5,87295.22,16.43,2025-07-28
363,243,8,1,94563.42,13.27,2023-03-18
364,244,8,1,66335.72,23.2,2021-02-13
365,245,7,2,36965.46,1.35,2025-05-05
366,49,7,2,21073.82,16.43,2023-09-25
367,172,7,2,39853.78,14.78,2022-08-16
368,68,4,5,,17.78,2022-11-07
369,204,2,1,47181.65,4.43,2025-01-29
370,241,6,5,63976.71,28.79,2023-08-22
371,246,5,5,74631.76,2.35,2025-11-17
372,100,7,2,67987.76,14.93,2022-05-29
373,247,7,2,14517.86,27.77,2023-01-05
374,248,5,5,36159.49,3.89,2024-02-14
375,45,7,2,21865.51,8.71,2022-05-17
376,249,7,2,43820.63,11.39,2022-08-06
377,250,4,5,12115.49,13.76,2022-02-21
378,251,3,1,31851.96,22.35,2023-09-13
379,252,2,1,64693.91,26.16,2023-04-03
380,253,7,2,76608.47,11.1,2022-06-20
381,47,2,1,15473.55,12.28,2023-07-05
382,254,7,2,35328.1,8.69,2021-10-17
383,142,2,1,67079.95,20.28,2023-09-30
384,255,7,2,7369.54,26.88,2021-01-12
385,166,3,1,10435.55,19.51,2021-08-21
386,111,6,5,,20.52,2024-01-02
387,246,1,2,,26.35,2025-05-14
388,170,1,2,17820.23,0.0,2023-12-12
389,119,7,2,72918.71,16.05,2023-09-13
390,251,7,2,9880.62,18.13,2024-01-11
391,172,2,1,67506.96,11.04,2024-05-17
392,3,4,5,32169.69,8.23,2022-12-20
393,256,8,1,92854.31,14.1,2023-08-31
394,115,4,5,57240.58,9.02,2021-03-22
395,222,6,5,31356.47,0.0,2021-07-25
396,257,3,1,8355.21,24.9,2025-05-30
397,89,7,2,,26.33,2021-03-30
398,194,6,5,67120.59,4.96,2025-06-22
399,258,4,5,,14.02,2024-07-25
400,259,7,2,17824.96,6.11,2023-02-08
401,167,4,5,56428.38,0.89,2022-08-27
402,260,1,2,871.34,21.08,2023-12-10
403,261,7,2,52478.46,4.13,2024-08-17
404,247,2,1,14778.02,13.75,2025-06-04
405,211,5,5,16512.7,17.1,2023-02-16
406,132,4,5,45305.87,0.1,2024-05-26
407,262,7,2,88713.4,25.04,2024-05-09
408,263,1,-1,34223.05,11.35,2023-08-04
409,112,3,1,45532.38,18.65,2024-01-07
410,32,4,5,75926.42,20.55,2021-12-01
411,264,2,1,24228.91,13.89,2025-07-29
412,190,3,1,3112.15,24.26,2022-05-24
413,65,7,2,91409.55,6.13,2021-02-22
414,168,7,2,93419.27,0.56,2023-07-31
415,23,1,2,9261.36,9.3,2024-08-20
416,71,4,5,89774.36,0.0,2022-09-17
417,165,3,1,11989.4,4.33,2024-07-11
418,265,5,5,32653.21,12.16,2024-10-31
419,84,4,5,,28.5,2022-07-31
420,266,4,5,63374.0,18.05,2024-07-22
421,267,9,2,88920.7,10.87,2024-11-10
422,199,2,1,52341.86,18.77,2021-08-26
423,197,2,1,38165.19,6.29,2022-12-15
424,268,4,5,79786.71,7.18,2024-02-19
425,57,3,1,61902.95,17.96,2021-06-13
426,269,6,5,8474.91,22.76,2024-12-28
427,255,7,2,2958.14,20.46,2024-01-10
428,246,6,5,92781.88,26.8,2024-07-31
429,128,4,5,-500.0,25.0,2025-08-03
430,270,8,1,45205.49,0.2,2023-12-30
431,271,7,2,27418.41,17.02,2022-05-27
432,121,2,1,,14.54,2022-10-02
433,30,2,1,55514.18,0.0,2021-12-12
434,118,7,2,96002.93,16.65,2022-03-02
435,6,2,1,11617.76,20.78,2024-08-25
436,272,2,1,4046.79,18.1,2024-08-21
437,273,8,1,64041.95,12.47,2022-04-11
438,274,5,5,89159.31,27.83,2025-07-03
439,173,4,5,7862.62,20.15,2025-09-27
440,112,3,1,69124.01,5.83,2021-05-12
441,134,2,-1,9806.43,16.43,2024-08-16
442,254,1,2,98266.63,22.11,2023-12-10
443,90,8,-1,96348.87,0.31,2024-11-29
444,112,2,1,45557.12,15.23,2023-10-08
445,50,7,2,39249.89,11.15,2024-05-06
446,275,7,2,53481.51,23.9,2025-12-21
447,276,2,1,31741.3,23.68,2021-08-17
448,48,7,2,4591.92,6.0,2025-08-19
449,277,4,5,,5.43,2024-09-29
450,278,2,1,54991.57,5.81,2022-12-01
451,279,9,2,16143.61,9.67,2025-10-18
452,199,2,1,98426.21,2.36,2025-01-20
453,194,4,5,,7.94,2024-02-04
454,245,7,2,30448.98,19.72,2024-10-28
455,280,9,2,17920.97,0.79,2022-01-14
456,206,8,1,35160.17,20.16,2024-08-20
457,68,3,1,62710.95,2.02,2023-12-19
458,121,3,1,15609.73,19.5,2021-11-15
459,281,7,2,93177.71,13.72,2021-10-21
460,282,7,2,66758.13,23.15,2021-01-20
461,65,1,2,21599.84,14.17,2025-08-15
462,154,5,5,64144.41,12.18,2023-09-08
463,281,6,5,96304.15,18.16,2023-02-19
464,231,4,5,38518.82,0.0,2021-01-30
465,129,4,5,53816.51,7.06,2024-05-27
466,203,8,1,5490.86,10.42,2022-10-22
467,283,5,5,27050.48,1.92,2024-05-25
468,284,7,2,13132.75,22.86,2021-11-04
469,176,4,5,26241.43,28.72,2024-06-18
470,115,6,5,28190.57,29.86,2024-05-24
471,257,7,2,2722.26,18.72,2023-01-19
472,285,1,2,85186.41,23.56,2023-10-10
473,286,2,1,94132.57,24.4,2021-07-26
474,160,5,5,91193.38,23.97,2022-01-07
475,199,1,2,75145.28,0.0,2021-05-02
476,287,2,1,99503.93,10.06,2025-03-29
477,288,7,2,,0.0,2024-08-15
478,23,2,1,54422.42,11.34,2023-12-15
479,99,8,1,15371.8,4.64,2021-07-04
480,289,7,2,35916.76,27.46,2022-03-17
481,290,7,2,69500.66,3.01,2022-05-20
482,283,4,5,86636.9,0.0,2023-07-20
483,291,9,2,75680.81,21.23,2022-10-02
484,292,7,2,,22.58,2022-02-05
485,268,3,1,46885.47,23.02,2024-01-01
486,284,8,1,25200.17,17.56,2025-03-15
487,267,5,5,71202.64,18.91,2025-11-03
488,131,7,2,22498.98,8.22,2024-09-18
489,17,8,1,88683.62,0.0,2022-06-18
490,262,7,2,25572.6,27.44,2021-03-04
491,216,5,5,61638.1,9.31,2025-03-12
492,293,2,1,48167.64,10.48,2024-05-09
493,289,7,2,83634.98,25.39,2021-03-01
494,294,7,2,98747.76,22.39,2023-07-19
495,282,5,5,22673.99,18.62,2023-09-16
496,53,9,2,57388.84,14.46,2024-09-07
497,295,2,1,80937.21,17.62,2021-10-25
498,296,3,1,88558.22,29.12,2023-01-12
499,154,7,2,,5.28,2022-12-27
500,263,2,1,99828.76,23.18,2022-11-08
501,297,9,2,170.1,0.24,2024-04-17
502,134,4,5,44690.95,18.37,2024-12-29
503,137,2,1,73904.25,23.89,2024-04-09
504,298,7,2,33887.39,8.12,2023-04-06
505,299,7,2,31488.95,15.51,2023-04-23
506,298,7,2,46449.59,18.8,2021-10-28
507,300,8,1,94061.72,21.8,2025-07-11
508,301,7,2,73580.85,4.44,2023-07-11
509,302,4,5,54587.41,22.93,2022-09-29
510,261,5,5,32049.05,13.78,2025-03-05
511,145,8,1,96790.81,12.1,2025-08-13
512,44,4,5,58018.94,21.79,2024-07-01
513,269,4,5,76015.96,13.93,2022-05-07
514,303,5,-1,55483.37,10.35,2021-10-04
515,230,3,1,82916.95,10.45,2024-11-11
516,304,9,2,64218.18,11.67,2021-06-26
517,256,4,5,98863.73,20.73,2021-08-20
518,234,9,2,83353.2,20.62,2025-01-17
519,305,7,2,52452.56,5.76,2025-05-18
520,306,8,-1,66476.25,1.7,2021-10-20
521,122,8,1,6492.15,24.62,2022-12-10
522,138,9,2,24731.23,12.95,2025-01-13
523,58,2,1,78420.46,22.32,2021-02-26
524,172,4,5,50630.05,26.72,2025-08-11
525,117,4,5,34291.52,4.37,2021-08-19
526,278,2,1,44166.82,11.28,2021-02-06
527,181,6,5,95684.55,10.04,2022-09-30
528,100,4,5,9398.2,27.72,2022-03-27
529,261,3,1,93498.95,5.55,2021-09-22
530,37,6,5,70342.37,29.12,2021-06-06
531,286,3,1,33979.16,10.9,2023-11-10
532,307,7,2,33248.29,5.67,2021-11-28
533,39,2,1,47373.86,16.83,2021-04-07
534,308,2,1,12264.68,2.46,2024-09-09
535,94,7,2,45079.05,6.0,2024-09-11
536,309,2,1,66204.47,24.76,2023-07-04
537,310,2,1,24787.11,3.36,2023-07-18
538,205,4,5,47972.8,14.03,2024-12-01
539,303,7,2,84965.95,0.0,2025-12-02
540,192,3,1,2815.96,26.84,2022-12-28
541,129,5,-1,78163.31,14.08,2021-11-01
542,75,2,1,42189.31,1.5,2023-01-08
543,252,4,5,35771.95,8.57,2024-03-29
544,171,2,1,7160.03,0.89,2023-07-16
545,311,7,2,80683.48,8.5,2023-08-01
546,247,5,5,29180.04,15.8,2022-11-02
547,169,2,1,85424.43,5.98,2023-04-20
548,151,2,1,84044.81,11.85,2025-06-07
549,256,4,5,29532.26,25.03,2021-07-30
550,128,3,1,20906.95,15.1,2021-08-11
551,312,7,2,70182.54,20.65,2023-07-06
552,140,7,2,26862.77,20.28,2025-02-19
553,313,4,5,24797.4,16.25,2021-08-17
554,70,5,5,53860.2,5.89,2024-04-02
555,18,6,5,4342.34,6.45,2023-11-05
556,11,7,2,88971.91,24.86,2022-11-10
557,314,4,5,77575.92,10.23,2025-10-19
558,231,2,1,34647.69,18.85,2024-12-20
559,315,7,2,58126.01,9.81,2023-10-02
560,316,5,5,46340.52,13.63,2024-02-18
561,294,9,2,13361.96,12.41,2023-12-13
562,311,2,1,57348.64,26.37,2024-01-11
563,180,2,1,43339.72,25.44,2024-11-09
564,229,7,2,94718.14,28.23,2023-07-17
565,10,7,2,31491.38,26.93,2021-12-13
566,307,4,5,83952.1,10.46,2025-05-26
567,317,2,1,78743.92,4.3,2022-05-25
568,162,6,5,83911.72,5.72,2024-11-09
569,277,3,1,42245.98,0.0,2022-06-10
570,285,2,1,37539.02,4.16,2025-12-18
571,10,9,2,-500.0,19.29,2023-08-12
572,318,4,5,20622.2,23.14,2023-03-17
573,319,1,2,,15.28,2023-12-30
574,200,4,5,56646.01,25.7,2022-09-29
575,146,5,5,82696.17,21.03,2025-08-05
576,320,2,1,70683.24,15.48,2022-04-16
577,224,5,5,12946.65,14.15,2025-07-13
578,244,2,1,51286.11,20.37,2023-08-12
579,321,3,1,14689.39,26.99,2023-10-17
580,282,5,5,8116.6,7.08,2025-10-28
581,322,2,1,57791.97,15.42,2022-03-04
582,304,7,2,,10.37,2024-07-10
583,149,7,2,97961.35,21.65,2021-07-05
584,323,7,2,37051.63,22.77,2022-08-29
585,276,7,2,24647.46,17.57,2021-12-20
